Município,Classificação de % em relação a população geral,% em relação a população geral,% em relação a população geral,População,Total Doses Aplicadas D1 + Única
MONGAGUÁ,407,69,266930336,69,266930336,57648,39931
RIOLÂNDIA,408,69,201670738,69,201670738,12689,8781
TAIAÇU,409,69,193037975,69,193037975,6320,4373
DIADEMA,410,69,175901040,69,175901040,426757,295213
LORENA,411,69,165778401,69,165778401,89125,61644
CHARQUEADA,412,69,159900962,69,159900962,17367,12011
ALAMBARI,413,69,130363844,69,130363844,6129,4237
SALMOURÃO,414,69,121229155,69,121229155,5337,3689
TIETÊ,415,69,094715055,69,094715055,42517,29377
ITAPUÍ,416,69,081784124,69,081784124,14147,9773
GLICÉRIO,417,69,061917581,69,061917581,4829,3335
CARDOSO,418,69,050125516,69,050125516,12349,8527
CONCHAS,419,69,032687719,69,032687719,18019,12439
PORTO FERREIRA,420,69,007503894,69,007503894,56504,38992
NOVA ODESSA,421,68,990747424,68,990747424,60956,42054
JÚLIO MESQUITA,422,68,9375,68,9375,4800,3309
DOBRADA,423,68,901220866,68,901220866,9010,6208
BEBEDOURO,424,68,900780092,68,900780092,77555,53436
ITUVERAVA,425,68,873825663,68,873825663,42045,28958
BOCAINA,426,68,824285255,68,824285255,12452,8570
BOREBI,427,68,803578084,68,803578084,2683,1846
PARAÍSO,428,68,796182266,68,796182266,6496,4469
SALTO GRANDE,429,68,784707390,68,784707390,9364,6441
SANTA BRANCA,430,68,755468803,68,755468803,14857,10215
RUBIÁCEA,431,68,753953194,68,753953194,3162,2174
SALTO DE PIRAPORA,432,68,750545137,68,750545137,45860,31529
JOÃO RAMALHO,433,68,732146781,68,732146781,4551,3128
PIACATU,434,68,714806227,68,714806227,6038,4149
OURINHOS,435,68,713271303,68,713271303,114352,78575
CAIABU,436,68,685905080,68,685905080,4193,2880
AVAÍ,437,68,653421634,68,653421634,5436,3732
ARAÇOIABA DA SERRA,438,68,642167012,68,642167012,34776,23871
PIQUEROBI,439,68,640173020,68,640173020,3699,2539
ITAJU,440,68,639053254,68,639053254,3887,2668
SANTO ANASTÁCIO,441,68,633183169,68,633183169,20866,14321
BIRIGUI,442,68,574585812,68,574585812,124883,85638
MINEIROS DO TIETÊ,443,68,548511492,68,548511492,12966,8888
SÃO JOAQUIM DA BARRA,444,68,479902139,68,479902139,52319,35828
CAJOBI,445,68,478671197,68,478671197,10596,7256
IRACEMÁPOLIS,446,68,473226619,68,473226619,24614,16854
RIBEIRÃO PIRES,447,68,462213774,68,462213774,124159,85002
MACAUBAL,448,68,442371425,68,442371425,8147,5576
JUQUIÁ,449,68,404744097,68,404744097,18718,12804
TACIBA,450,68,399431190,68,399431190,6329,4329
CARAPICUÍBA,451,68,370938259,68,370938259,403183,275660
NIPOÃ,452,68,365420914,68,365420914,5298,3622
ARTUR NOGUEIRA,453,68,341163715,68,341163715,55340,37820
SANTO ANTÔNIO DO ARACANGUÁ,454,68,329206462,68,329206462,8481,5795
GUARANTÃ,455,68,314606742,68,314606742,6675,4560
IGUAPE,456,68,304882378,68,304882378,30989,21167
